REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ASSET_IMPAIRMENT_LOSS,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,应占合营公司溢利,应占联营公司溢利,重估盈余,销售成本,非控股权益应占全面收益总额
2011-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2011-01-01 00:00:00,,0.0819117,,,359151300.0,3484397700.0,812816100.0,447363900.0,995542200.0,371753100.0,1184569200.0,,68742819000.0,1978482600.0,,1209772800.0,1247578200.0,1631933100.0,1745349300.0,560780100.0,560780100.0,94513500.0,567081000.0,,144920700.0,264637800.0,30887011800.0,535576500.0
2012-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2012-01-01 00:00:00,,0.2061644,,,94282500.0,6103220500.0,2042787500.0,842257000.0,1181674000.0,898826500.0,2941614000.0,,78480753000.0,7090044000.0,3262174500.0,2061644000.0,1407952000.0,3783871000.0,2966756000.0,25142000.0,25142000.0,314275000.0,458841500.0,,,169708500.0,33137156000.0,905112000.0
2013-03-31,00288.HK,00288,万洲国际,10372808,003,12-31,2013-01-01 00:00:00,,0.05391254,,0.05077809,12537800.0,1542149400.0,532856500.0,225680400.0,282100500.0,250756000.0,783612500.0,,19483741200.0,1003024000.0,,651965600.0,294638300.0,1009292900.0,946603900.0,162991400.0,162991400.0,81495700.0,81495700.0,,,37613400.0,8199721200.0,294638300.0
2013-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2013-01-01 00:00:00,,0.11183447,,0.1050379,37072200.0,3429178500.0,1105987300.0,519010800.0,605512600.0,556083000.0,1662070300.0,253326700.0,40754705200.0,2193438500.0,24714800.0,1297527000.0,729086600.0,2181081100.0,1915397000.0,253326700.0,253326700.0,216254500.0,216254500.0,,24714800.0,74144400.0,16948174100.0,617870000.0
2013-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2013-01-01 00:00:00,,-0.15973878,,0.0,731628000.0,10809803700.0,-1603484700.0,1396190100.0,2042461500.0,1194992400.0,-408492300.0,,137216831400.0,1701035100.0,115841100.0,-871856700.0,3286229100.0,987697800.0,542624100.0,951116400.0,951116400.0,4798260300.0,512139600.0,-18290700.0,36581400.0,390201600.0,57798612000.0,1414480800.0
2014-03-31,00288.HK,00288,万洲国际,10372808,003,12-31,2014-01-01 00:00:00,,0.20240409,,0.19133031,565993200.0,4749421200.0,2171691300.0,1076617500.0,1113530100.0,332213400.0,2503904700.0,,62173122600.0,4011169200.0,,867446100.0,2214756000.0,3580522200.0,1119682200.0,-1384222500.0,-1384222500.0,116889900.0,147650400.0,73825200.0,,2559273600.0,26337140100.0,252236100.0
2014-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2014-01-01 00:00:00,,0.30517888,,0.28795104,1132115200.0,10133661600.0,3267136800.0,1950437600.0,2288841600.0,682960800.0,3950097600.0,,129701024000.0,6854219200.0,3870111200.0,2104257600.0,4903781600.0,5900535200.0,2670315200.0,-1279782400.0,-1279782400.0,307640000.0,350709600.0,129208800.0,49222400.0,,54716850400.0,566057600.0
2014-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2014-01-01 00:00:00,,0.3940636,,0.3738709,2270149000.0,20896385000.0,4687154000.0,2741312000.0,4638202000.0,1260514000.0,5947668000.0,,272209834000.0,10573632000.0,4534179000.0,2875930000.0,10169778000.0,8688980000.0,3989588000.0,-1958080000.0,-1958080000.0,673090000.0,624138000.0,275355000.0,110142000.0,,115208532000.0,1113658000.0
2015-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2015-01-01 00:00:00,,0.13572192,,0.12960832,721404800.0,12153836800.0,1852420800.0,941494400.0,2158100800.0,593019200.0,2445440000.0,,124778576000.0,4065544000.0,85590400.0,1938011200.0,5068174400.0,3386934400.0,2543257600.0,97817600.0,97817600.0,256771200.0,207862400.0,48908800.0,-6113600.0,-898699200.0,50235451200.0,605246400.0
2015-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2015-01-01 00:00:00,,0.373382,,0.357148,1422098400.0,26493888000.0,5103969600.0,1993535200.0,4805264000.0,1357162400.0,6461132000.0,,275445524800.0,9785855200.0,6493600.0,3623428800.0,11578088800.0,8454667200.0,4720847200.0,-1740284800.0,-1740284800.0,545462400.0,623385600.0,97404000.0,-6493600.0,-409096800.0,111228874400.0,1097418400.0
2016-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2016-01-01 00:00:00,,0.26723736,,0.2553012,636595200.0,13501123200.0,3653791200.0,1730743200.0,2247976800.0,669751200.0,4323542400.0,,138631867200.0,6578150400.0,33156000.0,3441592800.0,5663044800.0,6054285600.0,4124606400.0,-198936000.0,-212198400.0,185673600.0,245354400.0,79574400.0,33156000.0,895212000.0,55814810400.0,683013600.0
2016-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2016-01-01 00:00:00,,0.5258246,,0.5029325,1269471000.0,29183959000.0,7186732000.0,3225705000.0,5188876000.0,1401274000.0,8588006000.0,,298762716000.0,12854261000.0,-277480000.0,5736899000.0,12444978000.0,11813711000.0,6756638000.0,-1831368000.0,-1831368000.0,339913000.0,742259000.0,173425000.0,55496000.0,1179290000.0,120197399000.0,1019739000.0
2017-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2017-01-01 00:00:00,,0.27571808,,0.26352416,948416000.0,13799452800.0,3773340800.0,1856185600.0,2418460800.0,541952000.0,4315292800.0,,144403110400.0,7052150400.0,6774400.0,4620140800.0,6225673600.0,6171478400.0,5277257600.0,961964800.0,961964800.0,155811200.0,392915200.0,40646400.0,27097600.0,1652953600.0,58402102400.0,657116800.0
2017-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2017-01-01 00:00:00,,0.50901418,,0.50705392,1293771600.0,28214675600.0,7403248600.0,1189224400.0,5377646600.0,1215361200.0,8618609800.0,,292457723600.0,10957853400.0,2123615000.0,8500994200.0,12611006000.0,9807834200.0,10036531200.0,1417921400.0,1417921400.0,2130149200.0,738364600.0,91478800.0,52273600.0,,118014186200.0,1535537000.0
2018-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2018-01-01 00:00:00,,0.231581,,0.22959602,363913000.0,15489460600.0,3400932400.0,1045422800.0,2487841600.0,681509800.0,4082442200.0,,147801610800.0,5352829400.0,-185264800.0,2904687400.0,6848181000.0,5127865000.0,3526647800.0,-555794400.0,-555794400.0,119098800.0,423462400.0,99249000.0,39699600.0,-919707400.0,58411344800.0,621960400.0
2018-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2018-01-01 00:00:00,,0.44130376,,0.4392448,789268000.0,32243313600.0,6471997600.0,1770705600.0,5023862400.0,1441272000.0,7913269600.0,,310285272000.0,10233031200.0,-144127200.0,5373885600.0,14680384800.0,9683975200.0,6554356000.0,-1358913600.0,-1358913600.0,507876800.0,672593600.0,185306400.0,54905600.0,-2326624800.0,122899322400.0,1180470400.0
2019-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2019-01-01 00:00:00,,0.26605089,,0.26467595,481229000.0,16925511400.0,3911704300.0,1003706200.0,2619260700.0,694344700.0,4606049000.0,,152989573800.0,6049736000.0,-20624100.0,5431013000.0,6991569900.0,5609755200.0,6132232400.0,1526183400.0,1526183400.0,274988000.0,226865100.0,34373500.0,6874700.0,-1196197800.0,59569275500.0,701219400.0
2019-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2019-01-01 00:00:00,,0.69482952,,0.6906438,1004572800.0,36499478400.0,10220133000.0,2490503400.0,5657698200.0,1604526000.0,11824659000.0,,336294697200.0,15215092200.0,369738600.0,9103941000.0,14363995800.0,14315162400.0,10575919200.0,-1248739800.0,-1248739800.0,439500600.0,411595800.0,76738200.0,27904800.0,-1604526000.0,131647870200.0,1471978200.0
2020-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2020-01-01 00:00:00,,0.15220925,,0.1515013,481406000.0,17238582500.0,2244201500.0,700870500.0,2867197500.0,892017000.0,3136218500.0,205305500.0,176718479000.0,4318495000.0,-233623500.0,2548620000.0,6746763500.0,3837089000.0,3341524000.0,205305500.0,205305500.0,42477000.0,283180000.0,-21238500.0,21238500.0,-3313206000.0,71120657000.0,792904000.0
2020-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2020-01-01 00:00:00,,0.36669938,,0.3653944,880861500.0,32794147400.0,5402617200.0,1455052700.0,5702762600.0,1722573600.0,7125190800.0,,333931332200.0,9356706600.0,-306670300.0,6629298400.0,12488658600.0,8580243500.0,8775990500.0,1650799700.0,1650799700.0,724263900.0,482842600.0,78298800.0,26099600.0,-4697928000.0,134171518700.0,2146692100.0
2021-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2021-01-01 00:00:00,,0.28553642,4974277000.0,0.28489041,439286800.0,15316897100.0,4211985200.0,1337240700.0,2538819300.0,762291800.0,4974277000.0,-70124385500.0,172239186200.0,6621602500.0,775212000.0,4864455300.0,6292137400.0,6311517700.0,5652587500.0,678310500.0,678310500.0,1104677100.0,406986300.0,103361600.0,25840400.0,58140900.0,70802696000.0,788132200.0
2021-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2021-01-01 00:00:00,,0.48136535,8275658600.0,0.48136535,886222300.0,31852997200.0,6809247600.0,2563031400.0,5119687100.0,1466411000.0,8275658600.0,-142158982900.0,348023960200.0,11508138500.0,835216700.0,6439457000.0,12993676600.0,10838690000.0,7963249300.0,-312409300.0,-312409300.0,2333506200.0,847968100.0,159392500.0,57381300.0,-1581173600.0,142158982900.0,1523792300.0
2022-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2022-01-01 00:00:00,,0.39731488,6033548600.0,0.39731488,530200600.0,17946283600.0,5093952600.0,1718118400.0,2765096800.0,939596000.0,6033548600.0,-74127413000.0,179838674400.0,8302001800.0,-315435800.0,3241606200.0,6946299000.0,7751667000.0,3879189200.0,-2154359400.0,-2154359400.0,73825400.0,362415600.0,-6711400.0,-13422800.0,93959600.0,71973053600.0,637583000.0
2022-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2022-01-01 00:00:00,529309600.0,0.74381928,11491590000.0,0.74381928,1177017400.0,36055734200.0,9541502000.0,3356937200.0,5864193200.0,1950088000.0,11491590000.0,-159900251400.0,391911971200.0,15997686200.0,1936158800.0,8085900600.0,14500297200.0,14848527200.0,9506679000.0,-1984911000.0,-1984911000.0,431805200.0,884504200.0,-27858400.0,55716800.0,-1553105800.0,159900251400.0,1420778400.0
2023-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2023-01-01 00:00:00,,0.23628366,3901932000.0,0.23628366,614193000.0,19856498400.0,3034836000.0,845418600.0,3128771400.0,867096000.0,3901932000.0,-74917094400.0,189547185600.0,5361543600.0,549160800.0,2984255400.0,7211348400.0,4747350600.0,3540642000.0,-361290000.0,-361290000.0,390193200.0,563612400.0,-14451600.0,14451600.0,-4877415000.0,74917094400.0,556386600.0
2023-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2023-01-01 00:00:00,,0.3470523,6091122000.0,0.3470523,1196976300.0,36298837500.0,4455018300.0,1395291900.0,6296520300.0,1636103700.0,6091122000.0,-149522879700.0,371643434400.0,8952532800.0,-56661600.0,5333273100.0,14002497900.0,7486413900.0,6756895800.0,665773800.0,665773800.0,2046900300.0,977412600.0,-240811800.0,-28330800.0,-5921137200.0,149522879700.0,1423622700.0
2024-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2024-01-01 00:00:00,,0.43544748,6357105600.0,0.43544748,527383200.0,18793371600.0,5587411200.0,1988377200.0,3299708400.0,769694400.0,6357105600.0,-68816380800.0,175219504800.0,8872866000.0,-7126800.0,4789209600.0,6385612800.0,8345482800.0,5437748400.0,-919357200.0,-919357200.0,299325600.0,313579200.0,,,-242311200.0,68816380800.0,648538800.0
2024-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2024-01-01 00:00:00,,0.90286304,13320105200.0,0.90286304,1056694800.0,37379680000.0,11587700800.0,4003938800.0,7195588400.0,1732404400.0,13320105200.0,-149094604400.0,372948568800.0,18301666400.0,294724400.0,9963122400.0,13262598000.0,17324044000.0,11544570400.0,-1775534800.0,-1775534800.0,1013564400.0,704463200.0,35942000.0,43130400.0,1394549600.0,149094604400.0,1581448000.0
2025-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2025-01-01 00:00:00,,0.43953804,6578753400.0,0.43953804,529736400.0,17531411400.0,5640976800.0,2233483200.0,3228528600.0,937776600.0,6578753400.0,-78300766800.0,191664356400.0,9356290200.0,221916600.0,7953204600.0,6378312600.0,8812236600.0,9012677400.0,2433924000.0,2433924000.0,758811600.0,551212200.0,35793000.0,-50110200.0,1417402800.0,78300766800.0,1059472800.0
