REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,中长期存款,储备,其他应付款及应计费用,其他金融负债(非流动),其他金融资产(流动),其他金融资产(非流动),其他非流动负债,合同负债,合同资产,存货,应收帐款,总权益及非流动负债,总资产减总负债合计,拨备(非流动),指定以公允价值记账之金融资产,无形资产,物业厂房及设备,融资租赁负债(流动),融资租赁负债(非流动),长期应收款,长期投资,非流动负债其他项目,非流动资产其他项目,预缴及应收税项
2016-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2016-12-31 00:00:00,21198000.0,9799000.0,500000000.0,425706000.0,1012991000.0,1794551000.0,97299000.0,6000.0,,,2815800000.0,2739601000.0,1870750000.0,76199000.0,-2342142000.0,3774018000.0,2815800000.0,945050000.0,3697819000.0,-958218000.0,,-1383930000.0,55001000.0,2895832000.0,782250000.0,,,,,36631000.0,,2739601000.0,-958218000.0,,,,771880000.0,,,100875000.0,,292188000.0,,13874000.0
2017-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2017-12-31 00:00:00,34836000.0,11211000.0,505000000.0,320420000.0,510471000.0,1282479000.0,169120000.0,8000.0,5000000.0,,2457216000.0,2293940000.0,1445755000.0,163276000.0,-3564676000.0,4079344000.0,2457216000.0,1011461000.0,3916068000.0,-1622128000.0,,-1942556000.0,122540000.0,3051092000.0,809484000.0,,,900000.0,,57722000.0,,2293940000.0,-1622128000.0,,,,761818000.0,,,135533000.0,,348765000.0,,13068000.0
2018-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2018-06-30 00:00:00,36639000.0,16916000.0,687000000.0,,1887114000.0,2067413000.0,1856818000.0,14000.0,10000000.0,,4893774000.0,3123592000.0,3837595000.0,1770182000.0,-3147750000.0,6467649000.0,4893774000.0,1056179000.0,4697467000.0,-1573875000.0,,-1573889000.0,1723543000.0,3550116000.0,181408000.0,,,,3537000.0,48980000.0,,3123592000.0,-1573875000.0,,,,782912000.0,,,119772000.0,,443435000.0,,13233000.0
2018-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2018-12-31 00:00:00,42821000.0,15955000.0,782000000.0,,4525352000.0,4015940000.0,171513000.0,79000.0,10000000.0,,6112577000.0,5442256000.0,4686261000.0,670321000.0,8388828000.0,1918163000.0,6112577000.0,1426316000.0,1247842000.0,4194414000.0,,4194335000.0,600498000.0,,,,,17002000.0,7505000.0,66121000.0,,5442256000.0,4194414000.0,,,,1078053000.0,,,250307000.0,,449887000.0,,13726000.0
2019-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2019-06-30 00:00:00,60393000.0,14994000.0,791000000.0,,3431042000.0,3375806000.0,203571000.0,79000.0,11000000.0,,5605084000.0,4931621000.0,4049269000.0,673463000.0,7057040000.0,2076564000.0,5605084000.0,1555815000.0,1403101000.0,3528520000.0,,3528441000.0,556513000.0,,53500000.0,,,38495000.0,1347000.0,231581000.0,178431000.0,4931621000.0,3528520000.0,,,,1166157000.0,7062000.0,14619000.0,250533000.0,,582488000.0,75169000.0,13753000.0
2019-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2019-12-31 00:00:00,84275000.0,16518000.0,808000000.0,,4232642000.0,4411867000.0,236475000.0,87000.0,17000000.0,,7230529000.0,6186973000.0,5455423000.0,1043556000.0,9512262000.0,2474398000.0,7230529000.0,1775106000.0,1430842000.0,4756131000.0,,4756044000.0,885004000.0,,462519000.0,1984000.0,,41727000.0,2185000.0,358597000.0,247854000.0,6186973000.0,4756131000.0,,,,1344788000.0,15550000.0,24538000.0,251969000.0,,581786000.0,91516000.0,
2020-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2020-06-30 00:00:00,196065000.0,19765000.0,793000000.0,,4633286000.0,6077587000.0,177263000.0,93000.0,146000000.0,,8954192000.0,7869307000.0,7162472000.0,1084885000.0,12809130000.0,2549627000.0,8954192000.0,1791720000.0,1464742000.0,6404565000.0,,6404472000.0,617129000.0,,1561115000.0,1984000.0,,110241000.0,2256000.0,467136000.0,377769000.0,7869307000.0,6404565000.0,,,35207000.0,1391908000.0,15450000.0,16403000.0,223482000.0,,635574000.0,82786000.0,
2020-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2020-12-31 00:00:00,120620000.0,45823000.0,925178000.0,,7763833000.0,7980830000.0,436793000.0,97000.0,255000000.0,,11834996000.0,10349145000.0,9466681000.0,1485851000.0,17559540000.0,3055226000.0,11834996000.0,2368315000.0,1569375000.0,8779770000.0,,8779673000.0,973634000.0,,357297000.0,12942000.0,588141000.0,120440000.0,,705658000.0,475378000.0,10349145000.0,,,,32625000.0,1584079000.0,16157000.0,10233000.0,,,,466391000.0,
2021-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2021-06-30 00:00:00,277334000.0,58510000.0,1468136000.0,,11164034000.0,11190785000.0,560311000.0,100000.0,370000000.0,,16456582000.0,14214844000.0,13432523000.0,2241738000.0,23810658000.0,4551253000.0,16456582000.0,3024059000.0,2309515000.0,11905329000.0,,11905229000.0,1369231000.0,,,45427000.0,,210236000.0,,1101636000.0,1002455000.0,14214844000.0,11905329000.0,,,96914000.0,2011522000.0,14937000.0,3128000.0,158175000.0,,779741000.0,316108000.0,
2021-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2021-12-31 00:00:00,195050000.0,294767000.0,2023261000.0,,8377095000.0,8500802000.0,626828000.0,101000.0,365000000.0,60594000.0,16243713000.0,13193666000.0,11550849000.0,3050047000.0,20660794000.0,5913316000.0,16243713000.0,4692864000.0,2863269000.0,10330397000.0,,10330296000.0,2051624000.0,342000.0,644848000.0,213809000.0,458507000.0,355506000.0,,1347240000.0,968405000.0,13193666000.0,,,203446000.0,772194000.0,2692986000.0,22273000.0,86392000.0,,,,396862000.0,
2022-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2022-06-30 00:00:00,236355000.0,288153000.0,1807986000.0,,8317947000.0,7712764000.0,623440000.0,101000.0,858000000.0,,16158635000.0,12676865000.0,11194534000.0,3481770000.0,19182180000.0,6567545000.0,16158635000.0,4964101000.0,3085775000.0,9591090000.0,,9590989000.0,2047915000.0,5794000.0,,236317000.0,899674000.0,323554000.0,,1476915000.0,1186648000.0,12676865000.0,,,,815502000.0,2960355000.0,15946000.0,84168000.0,,,,541511000.0,
2022-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2022-12-31 00:00:00,325622000.0,314181000.0,2215433000.0,,9162823000.0,8007510000.0,764152000.0,105000.0,888000000.0,3296000.0,17588845000.0,14089647000.0,11506708000.0,3499198000.0,21459898000.0,6858896000.0,17588845000.0,6082137000.0,3359698000.0,10729949000.0,,10729844000.0,1820977000.0,162305000.0,3213000.0,427627000.0,569096000.0,434911000.0,,1428882000.0,575269000.0,14089647000.0,,,202570000.0,1198163000.0,3411496000.0,26392000.0,98683000.0,,,,414650000.0,
2023-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2023-06-30 00:00:00,216413000.0,310271000.0,2888466000.0,,7655657000.0,8512843000.0,1040788000.0,106000.0,450100000.0,,17897036000.0,15024572000.0,11385307000.0,2872464000.0,21566434000.0,7113819000.0,17897036000.0,6511729000.0,4241355000.0,10783217000.0,,10783111000.0,1833436000.0,231528000.0,870837000.0,464989000.0,724375000.0,345498000.0,,1300027000.0,1015502000.0,15024572000.0,,,171657000.0,1190445000.0,3803628000.0,27017000.0,86715000.0,,,,383506000.0,
2023-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2023-12-31 00:00:00,372549000.0,509739000.0,2326777000.0,,10052095000.0,8951169000.0,963012000.0,112000.0,1195155000.0,,20627360000.0,16150544000.0,13427985000.0,4476816000.0,25055162000.0,8099779000.0,20627360000.0,7199375000.0,3622963000.0,12527581000.0,,12527469000.0,2467771000.0,262713000.0,917534000.0,575788000.0,450312000.0,416166000.0,,968088000.0,1005891000.0,16150544000.0,,,218301000.0,1270267000.0,4289734000.0,25175000.0,73422000.0,,,,366650000.0,
2024-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2024-06-30 00:00:00,220621000.0,503732000.0,2270761000.0,,8165264000.0,6921088000.0,897977000.0,112000.0,934649000.0,,20295696000.0,16168126000.0,11048658000.0,4127570000.0,24852748000.0,7869322000.0,20295696000.0,9247038000.0,3741752000.0,12426374000.0,,12426262000.0,2611692000.0,391276000.0,463491000.0,2095634000.0,487066000.0,283546000.0,,690411000.0,1368940000.0,16168126000.0,,22661000.0,205763000.0,987351000.0,4989421000.0,77062000.0,66256000.0,,,,431444000.0,
2024-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2024-12-31 00:00:00,357677000.0,647292000.0,2412354000.0,,7508185000.0,5903968000.0,881547000.0,113000.0,405100000.0,,21602602000.0,17233733000.0,10272837000.0,4368869000.0,26235458000.0,8484873000.0,21602602000.0,11329765000.0,4116004000.0,13117729000.0,275000000.0,13117616000.0,3340852000.0,460960000.0,375555000.0,2766905000.0,567780000.0,256411000.0,,822167000.0,1184407000.0,17233733000.0,,22858000.0,,1282603000.0,5279611000.0,8829000.0,4760000.0,,858991000.0,,367631000.0,
2025-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2025-06-30 00:00:00,432292000.0,718637000.0,2263120000.0,,9540139000.0,8080408000.0,1081517000.0,114000.0,1108500000.0,61896000.0,23594272000.0,18581806000.0,13092874000.0,5012466000.0,28843640000.0,9172452000.0,23594272000.0,10501398000.0,4159986000.0,14421820000.0,577252000.0,14421706000.0,3176721000.0,640365000.0,,1719362000.0,513496000.0,226966000.0,,1128113000.0,1722353000.0,18581806000.0,,22763000.0,,1388342000.0,5244064000.0,6091000.0,1605000.0,,835429000.0,,357701000.0,
